"","state","plant_name","cen_tract_id","region_meta","year","status","community_ownership","source","median_age","protesters_mean","letters_use","courts_use","legislation_use","is_anti_wind","longitude","latitude","gop_per","med_inc","white_perc","his_lat_perc","black_perc","pop_den","total_mw","n_turbs","turb_ht"
"1","OH","ada school",39065000400,"Midwest",2011,"Operating",1,"awea",22.5,NA,0,0,0,1,-83.836,40.775,0.6081081081,28103,0.932641708,0.01503533303,0.01759133965,553.4866017,0.4,1,131.234
"2","IL","arends brothers wind turbine",17029000600,"Midwest",2009,"Operating",1,"awea",44.2,NA,NA,NA,NA,0,-88.029778,39.531319,0.7653213752,49704,0.9778930131,0.004093886463,0.006823144105,25.99126241,0.1,1,95.1
"3","AK","avtec",2122001300,"West",2010,"Operating",1,"awea",39.4,NA,NA,NA,NA,0,-149.434258,60.125643,0.4095063985,57532,0.7256915339,0.02829002515,0.01844090528,2.540609398,0.1,1,95.1
"4","OH","bellevue high school",39143962200,"Midwest",2010,"Operating",1,"awea",38.9,NA,NA,NA,NA,0,-82.845922,41.282356,0.6320885201,48879,0.9519143118,0.0275752051,0.00387420237,1536.689356,0.1,1,95.1
"5","IL","big windy",17031770800,"Midwest",2009,"Operating",1,"awea",35.3,NA,NA,NA,NA,0,-87.865193,41.95547,0.3862876254,48900,0.6761017556,0.2294876388,0.01683984235,3683.457543,0.11,1,78.7
"6","WY","blm field office wind turbine",56007967800,"West",2010,"Operating",1,"awea",38.1,NA,0,0,0,0,-107.24175,41.797519,0.6207455429,64009,0.7235321313,0.2380952381,0.006703652335,400.9790196,0.1,1,95.1
"7","VT","bolton valley resort",50007002900,"Northeast",2009,"Operating",1,"awea",41.9,NA,NA,NA,NA,0,-72.834726,44.4144,0.3041543027,82210,0.9657941224,0.008350730689,0.003533001445,46.93702169,0.1,1,95.1
"8","OH","boyce dairy farm",39029950900,"Midwest",2010,"Operating",0,"awea",43.7,NA,NA,NA,NA,0,-81.045556,40.868333,0.7698412698,52788,0.9842460615,0.00400100025,0.002250562641,112.6206926,0.1,1,95.1
"9","IA","burco farm & feed",19019950200,"Midwest",2010,"Operating",1,"awea",32.1,NA,NA,NA,NA,0,-91.884725,42.563853,0.5966228893,49875,0.9753330044,0.011100148,0.001726689689,40.51906312,0.1,1,95.1
"10","OH","byers auto",39049006383,"Midwest",2010,"Operating",0,"awea",31.9,NA,NA,NA,NA,0,-83.082175,40.110703,0.374888691,58076,0.7580846477,0.06966980597,0.0602519006,2529.114484,0.1,1,95.1
"11","IA","carsten farms",19001960100,"Midwest",2009,"Operating",1,"awea",44.6,NA,NA,NA,NA,0,-94.60524,41.401302,0.7242744063,43382,0.9774274454,0.01289860265,0.00179147259,10.2111288,0.2,2,95.1
"12","AK","chevak",2270000100,"West",2009,"Operating",1,"awea",21.9,NA,NA,NA,NA,0,-165.6081005,61.52479,0.1896551724,37955,0.02667917951,0.000938463601,0.0001340662287,0.4366729732,0.4,4,95.1
"13","OH","conneaut middle school",39007000101,"Midwest",2010,"Operating",1,"awea",38.8,NA,0,0,0,0,-80.559315,41.926246,0.5758928571,36625,0.7749231445,0.02239789196,0.1877470356,409.4849227,0.6,1,180.46
"14","MN","dh blattner headquarters",27145010401,"Midwest",2009,"Operating",1,"awea",37.8,NA,NA,NA,NA,0,-94.445678,45.594339,0.6419753086,65932,0.9704708699,0.01622772014,0.001596169194,115.0166239,0.1,1,95.1
"15","VT","dynapower",50007003301,"Northeast",2010,"Operating",0,"awea",43.1,NA,0,0,0,0,-73.155226,44.442824,0.2176961603,132292,0.8790005615,0.01600224593,0.009825940483,580.5290905,0.1,1,95.1
"16","RI","easton pond business center",44005040400,"Northeast",2009,"Operating",1,"awea",47.5,NA,NA,NA,NA,0,-71.283944,41.502178,0.3272461651,82453,0.9243309751,0.02645339895,0.01814826207,883.2578325,0.1,1,95.1
"17","IL","eswood school",17141961000,"Midwest",2012,"Operating",1,"awea",37,NA,NA,NA,NA,0,-89.032497,42.055822,0.7044025157,59483,0.9064360646,0.07513467536,0.005812305075,52.3277627,0.225,1,NA
"18","AK","gambell wind",2180000100,"West",2010,"Operating",1,"awea",24.6,NA,NA,NA,NA,0,-171.7116097,63.77880933,0.1397849462,36213,0.06270742358,0.004017467249,0.001397379913,0.2575949354,0.3,3,95.1
"19","NY","half hollow nursery",36103170001,"Northeast",2010,"Operating",1,"awea",46.6,NA,NA,NA,NA,0,-72.568067,40.969031,0.5831775701,90868,0.8891858186,0.07340103332,0.01389631213,467.9248704,0.1,1,95.1
"20","OH","hasslebach meats",39043040400,"Midwest",2010,"Operating",0,"awea",50,NA,NA,NA,NA,0,-82.5725,41.389444,0.5237388724,64436,0.9524995552,0.01547767301,0.01441024729,288.5769805,0.1,1,95.1
"21","VT","heritage flight",50007980000,"Northeast",2009,"Operating",1,"awea",0,NA,NA,NA,NA,0,-73.145991,44.463137,0.2366838488,NA,NA,NA,NA,0,0.1,1,95.1
"22","OK","high plains tech center",40153953500,"South",2010,"Operating",0,"awea",37.2,NA,0,0,0,0,-99.428203,36.406464,0.8610540726,53986,0.8601147776,0.08697991392,0.003048780488,401.7030979,0.1,1,95.1
"23","AK","hooper bay",2270000100,"West",2008,"Operating",1,"awea",21.9,NA,NA,NA,NA,0,-166.0964913,61.535708,0.2196078431,37955,0.02667917951,0.000938463601,0.0001340662287,0.4366729732,0.3,3,95.1
"24","OH","huron schools",39043040500,"Midwest",2010,"Operating",1,"awea",40.5,NA,0,0,0,0,-82.585583,41.404167,0.5237388724,59365,0.9398543184,0.02934443288,0.00749219563,2328.778968,0.1,1,95.1
"25","ME","jackman land port of entry wind turbines",23025965302,"Northeast",2010,"Operating",1,"awea",52.2,NA,NA,NA,NA,0,-70.395654,45.803526,0.715370019,33194,0.9782135076,0.00290486565,0.001452432825,0.4864285019,0.2,2,95.1
"26","KS","kansas state university wind turbine",20161001302,"Midwest",2010,"Operating",1,"awea",41.7,NA,0,0,0,0,-96.650475,39.249719,0.7076612903,53056,0.9429750516,0.02794972801,0.006002626149,16.35389498,0.1,1,95.1
"27","OH","margaretta elementary school",39043041700,"Midwest",2010,"Operating",0,"awea",45.5,NA,NA,NA,NA,0,-82.787,41.396,0.5508100147,45194,0.9444948578,0.02888687235,0.009376890502,203.3648341,0.1,1,95.1
"28","TX","mountain peak special utility district",48139060802,"South",2010,"Operating",0,"awea",34.9,NA,NA,NA,NA,0,-97.024261,32.42145,0.7201735358,70746,0.8323854132,0.1201070592,0.02191368351,306.4049448,0.1,1,95.1
"29","NH","mountain view grand",33007951100,"Northeast",2009,"Operating",1,"awea",45.7,NA,0,0,0,0,-71.590467,44.398783,0.4882914137,48061,0.9537290715,0.01826484018,0.003652968037,53.23832468,0.1,1,95.1
"30","IL","muti wind turbine",17019010604,"Midwest",2010,"Operating",0,"awea",42.9,NA,NA,NA,NA,0,-88.291425,40.150208,0.3166789126,56389,0.8660742621,0.0180894954,0.06601079023,31.60316608,0.1,1,95.1
"31","RI","new england tech",44003022100,"Northeast",2009,"Operating",1,"awea",47.1,NA,0,0,0,0,-71.451452,41.732755,0.4228571429,66328,0.9421577516,0.02411604714,0.007434270172,1814.962949,0.1,1,95.1
"32","OH","nexgen",39139002400,"Midwest",2010,"Operating",0,"awea",42.9,NA,0,0,0,0,-82.6423,40.763992,0.727173913,46694,0.8995875919,0.01380670611,0.04070288686,538.8855861,0.1,1,95.1
"33","TX","noresco",48227950802,"South",2009,"Operating",1,"awea",40,NA,NA,NA,NA,0,-101.507533,32.227606,0.4636871508,31438,0.3929583768,0.427271371,0.1514247352,761.3009258,0.1,1,95.1
"34","OH","ohio northern university",39065000400,"Midwest",2010,"Operating",0,"awea",22.5,NA,NA,NA,NA,0,-83.842998,40.76502833,0.544021025,28103,0.932641708,0.01503533303,0.01759133965,553.4866017,1.2,3,131.234
"35","CT","phoenix press",9009142300,"Northeast",2010,"Operating",0,"awea",29.8,NA,0,0,0,0,-72.901928,41.301214,0.08994708995,31773,0.127753304,0.6503303965,0.1971365639,13940.51491,0.1,1,95.1
"36","NE","pine ridge job corps center wind turbine",31045950600,"Midwest",2010,"Operating",0,"awea",47.9,NA,0,0,0,0,-102.984517,42.680478,0.7922077922,41759,0.9133753734,0.02854298042,0.01228011948,2.199814662,0.1,1,95.1
"37","IL","porta high school",17129010200,"Midwest",2009,"Operating",1,"awea",45.3,NA,NA,NA,NA,0,-89.863628,40.016733,0.5987261146,51103,0.9700466487,0.009084213111,0.005401424012,187.0690573,0.6,1,157.81
"38","AK","quinhagak",2050000100,"West",2010,"Operating",0,"awea",24,NA,NA,NA,NA,0,-161.9143477,59.739954,0.2654320988,38304,0.03153010651,0.003690815143,0.0007381630286,0.4449336315,0.3,3,95.1
"39","IL","richland community college",17115002200,"Midwest",2009,"Operating",1,"awea",41.8,NA,NA,NA,NA,0,-88.895369,39.886628,0.4995004995,48180,0.8562938952,0.02160994057,0.09796506393,85.93250457,0.1,1,95.1
"40","VT","rock of ages",50023955400,"Northeast",2010,"Operating",0,"awea",42.6,NA,NA,NA,NA,0,-72.477036,44.1535,0.4467370441,58869,0.9599483204,0.01705426357,0.004392764858,268.6001375,0.1,1,95.1
"41","AK","savoonga",2180000100,"West",2008,"Operating",1,"awea",24.6,NA,NA,NA,NA,0,-170.4981055,63.6918515,0.09689922481,36213,0.06270742358,0.004017467249,0.001397379913,0.2575949354,0.2,2,95.1
"42","IL","sherrard high school",17161024101,"Midwest",2009,"Operating",1,"awea",47.3,NA,0,0,0,0,-90.528233,41.344531,0.6044657097,60186,0.953137846,0.02055357632,0.01096190737,72.3581761,0.6,1,157.81
"43","MD","talbot county dpw",24041960100,"South",2010,"Operating",0,"awea",44.3,NA,NA,NA,NA,0,-76.03252933,38.81837667,0.6809815951,65385,0.8785317019,0.0213570634,0.080756396,56.70787627,0.3,3,95.1
"44","OH","three d metals corporation",39103402000,"Midwest",2009,"Operating",1,"awea",47,NA,NA,NA,NA,0,-81.883064,41.248153,0.641958042,77558,0.9676223913,0.01501852935,0.00370587088,199.4335466,0.1,1,95.1
"45","OH","tj automation",39069000200,"Midwest",2010,"Operating",0,"awea",41.8,NA,NA,NA,NA,0,-84.308528,41.459139,0.7614379085,61020,0.9433420366,0.04125326371,0.00182767624,46.40166962,0.1,1,95.1
"46","AK","toksook bay",2050000100,"West",2010,"Operating",0,"awea",24,NA,NA,NA,NA,0,-165.1132465,60.52628775,0.1260162602,38304,0.03153010651,0.003690815143,0.0007381630286,0.4449336315,0.4,4,95.1
"47","NY","town of richland",36075020302,"Northeast",2010,"Operating",0,"awea",39,NA,0,0,0,0,-76.052126,43.569793,0.676056338,48611,0.971070683,0.01431553832,0.001192961527,62.36498785,0.1,1,95.1
"48","AK","unalakleet",2180000100,"West",2009,"Operating",1,"awea",24.6,NA,NA,NA,NA,0,-160.7701512,63.90959883,0.3157894737,36213,0.06270742358,0.004017467249,0.001397379913,0.2575949354,0.6,6,95.1
"49","OH","upper scioto valley school",39065000500,"Midwest",2009,"Operating",1,"awea",40.8,NA,0,0,0,0,-83.7893335,40.6899625,0.748,50410,0.9750572082,0.005949656751,0.003203661327,38.05049657,0.2,2,95.1
"50","CA","victorville wind project",6071980200,"West",2005,"Operating",0,"awea",36.8,NA,NA,NA,NA,0,-117.350083,34.557472,0,NA,0.1982662814,0.3820849078,0.3114025339,611.8452826,0.75,1,196.85
"51","AL","noccalula wind",1055010200,"South",2014,"Cancelled",NA,"columbia",36.9,NA,0,1,1,1,-86.102082,34.022883,0.5685154976,32519,0.837803552,0.04331279449,0.09369336716,503.5033819,80,40,NA
"52","AL","turkey heaven mountain wind",1029959800,"South",2015,"Cancelled",NA,"columbia",41.1,NA,0,1,1,1,-85.4668984,33.5473317,0.8465608466,39044,0.9792157703,0.01114206128,0.001071352046,40.77800023,NA,30,NA
"53","ID","ridgeline wind energy project",16019970100,"West",2010,"Cancelled",NA,"columbia",43.8,NA,0,0,0,1,-111.798671,43.558432,0.8044444444,71058,0.9541463415,0.02887804878,0.001365853659,3.591296297,135,75,NA
"54","ID","blue ribbon energy project",16011950200,"West",2012,"Cancelled",NA,"columbia",33.1,NA,0,0,0,1,-112.145788,43.302572,0.7439824945,45763,0.8731732777,0.1033402923,0.00130480167,8.048011022,67.5,27,NA
